1,NVDA
2,TSLA
3,PLTR
4,AAPL
5,AMD
6,AMZN
7,BAC
8,GOOGL
9,UBER
10,CSCO
11,T
12,GOOG
13,WFC
14,KO
15,AVGO
16,ORCL
17,MRK
18,XOM
19,MSFT
