1,CORZ
2,APGE
3,COGT
4,BTBT
5,NFE
6,SBET
7,LVWR
8,KALV
9,BMNR
10,NPWR
11,ZVRA
12,PRME
13,FTRE
14,WOLF
15,CLBR
16,OPRT
17,VOR
18,MNTK
19,BSGM
20,AENT
